TIME,RPM,TPS,Sonda_Geral,Distância,Marcha,Temp._do_motor,Tensão_da_Bateria,Pressão_de_Óleo,Pressão_de_Combustível,Nível_de_combustível,Lenta,Consumo_total,Consumo_medio,Consumo_instantâneo,Potência_estimada,Torque_estimado,Distância_total,Autonomia,Eletroventilador_1,Bomba_Combustível,Velocidade_de_referência
0.020,3693,5.1,0.936,0.00,0,77.1,12.63,3.69,3.05,4.4,OFF,1.08,1.7,0.0,21,40,1.9,7.4,ON,ON,0.1
0.060,3739,5.2,0.924,0.00,0,77.1,12.64,3.67,3.03,4.4,OFF,1.08,1.7,0.0,21,41,1.9,7.4,ON,ON,0.1
0.100,3681,5.2,0.931,0.00,0,77.1,12.64,3.72,3.03,4.4,OFF,1.08,1.7,0.0,21,40,1.9,7.4,ON,ON,0.1
0.140,3689,5.1,0.943,0.00,0,77.1,12.64,3.73,3.03,4.4,OFF,1.08,1.7,0.0,21,40,1.9,7.4,ON,ON,0.1
0.180,3674,5.1,0.955,0.00,0,77.1,12.65,3.67,3.03,4.4,OFF,1.08,1.7,0.0,21,40,1.9,7.4,ON,ON,0.0
0.220,3623,5.1,0.957,0.00,0,77.1,12.64,3.61,3.02,4.4,OFF,1.08,1.7,0.0,20,40,1.9,7.4,ON,ON,0.0
0.260,3632,5.0,0.953,0.00,0,77.2,12.66,3.62,3.02,4.4,OFF,1.08,1.7,0.0,21,41,1.9,7.4,ON,ON,0.0
0.300,3630,5.1,0.940,0.00,0,77.2,12.64,3.61,3.02,4.4,OFF,1.08,1.7,0.0,20,40,1.9,7.4,ON,ON,0.0
0.340,3601,5.1,0.932,0.00,0,77.2,12.65,3.58,3.03,4.4,OFF,1.08,1.7,0.0,20,40,1.9,7.4,ON,ON,0.0
0.380,3593,5.1,0.928,0.00,0,77.1,12.66,3.58,3.03,4.4,OFF,1.08,1.7,0.0,20,40,1.9,7.4,ON,ON,0.0
0.420,3641,5.1,0.930,0.00,0,77.1,12.64,3.58,3.03,4.4,OFF,1.08,1.7,0.0,20,40,1.9,7.4,ON,ON,0.0
0.460,3588,5.1,0.940,0.00,0,77.1,12.64,3.58,3.02,4.4,OFF,1.08,1.7,0.0,20,40,1.9,7.4,ON,ON,0.0
0.500,3635,5.1,0.944,0.00,0,77.1,12.64,3.64,3.02,4.4,OFF,1.08,1.7,0.0,20,40,1.9,7.4,ON,ON,0.0
0.540,3634,5.1,0.942,0.00,0,77.1,12.64,3.61,3.02,4.4,OFF,1.08,1.7,0.0,20,40,1.9,7.4,ON,ON,0.0
0.580,3582,5.0,0.941,0.00,0,77.2,12.64,3.60,3.02,4.4,OFF,1.08,1.7,0.0,20,40,1.9,7.4,ON,ON,0.0
0.620,3635,5.1,0.937,0.00,0,77.2,12.65,3.61,3.02,4.4,OFF,1.08,1.7,0.0,20,40,1.9,7.4,ON,ON,0.0
0.660,3580,5.1,0.934,0.00,0,77.2,12.63,3.53,3.03,4.4,OFF,1.08,1.7,0.0,20,40,1.9,7.4,ON,ON,0.0
0.700,3578,5.2,0.927,0.00,0,77.1,12.64,3.60,3.03,4.4,OFF,1.08,1.7,0.0,20,40,1.9,7.4,ON,ON,0.0
0.740,3625,5.2,0.931,0.00,0,77.1,12.64,3.63,3.03,4.4,OFF,1.08,1.7,0.0,20,40,1.9,7.4,ON,ON,0.0
0.780,3602,5.1,0.934,0.00,0,77.1,12.65,3.58,3.03,4.4,OFF,1.08,1.7,0.0,20,40,1.9,7.4,ON,ON,0.0
0.820,3591,5.1,0.943,0.00,0,77.1,12.64,3.55,3.02,4.4,OFF,1.08,1.7,0.0,20,41,1.9,7.4,ON,ON,0.0
0.860,3661,5.1,0.950,0.00,0,77.1,12.64,3.61,3.02,4.4,OFF,1.08,1.7,0.0,21,40,1.9,7.4,ON,ON,0.0
0.900,3675,5.2,0.951,0.00,0,77.1,12.63,3.64,3.02,4.4,OFF,1.08,1.7,0.0,20,41,1.9,7.4,ON,ON,0.0
0.940,3633,5.0,0.951,0.00,0,77.2,12.63,3.67,3.02,4.4,OFF,1.08,1.7,0.0,21,40,1.9,7.4,ON,ON,0.0
0.980,3648,5.0,0.948,0.00,0,77.2,12.63,3.63,3.02,4.4,OFF,1.08,1.7,0.0,21,41,1.9,7.4,ON,ON,0.0
1.020,3625,5.1,0.941,0.00,0,77.2,12.64,3.56,3.02,4.4,OFF,1.08,1.7,0.0,20,40,1.9,7.4,ON,ON,0.0
1.060,3591,5.1,0.938,0.00,0,77.1,12.64,3.59,3.03,4.4,OFF,1.08,1.7,0.0,20,41,1.9,7.4,ON,ON,0.0
1.100,3636,5.1,0.941,0.00,0,77.1,12.64,3.61,3.03,4.4,OFF,1.08,1.7,0.0,20,40,1.9,7.4,ON,ON,0.0
1.140,3582,5.2,0.939,0.00,0,77.1,12.64,3.59,3.03,4.4,OFF,1.08,1.7,0.0,20,40,1.9,7.4,ON,ON,0.0
1.180,3606,5.1,0.942,0.00,0,77.1,12.63,3.60,3.03,4.4,OFF,1.08,1.7,0.0,20,40,1.9,7.4,ON,ON,0.0
1.220,3609,5.0,0.942,0.00,0,77.1,12.64,3.56,3.02,4.4,OFF,1.08,1.7,0.0,20,40,1.9,7.4,ON,ON,0.0
1.260,3542,5.1,0.945,0.00,0,77.1,12.64,3.50,3.02,4.4,OFF,1.08,1.7,0.0,20,40,1.9,7.4,ON,ON,0.0
1.300,3584,5.1,0.950,0.00,0,77.1,12.62,3.56,3.02,4.4,OFF,1.08,1.7,0.0,20,40,1.9,7.4,ON,ON,0.0
1.340,3592,5.0,0.949,0.00,0,77.1,12.63,3.54,3.02,4.4,OFF,1.08,1.7,0.0,20,40,1.9,7.4,ON,ON,0.0
1.380,3579,5.1,0.956,0.00,0,77.2,12.63,3.57,3.02,4.4,OFF,1.08,1.7,0.0,20,40,1.9,7.4,ON,ON,0.0
1.420,3626,5.1,0.956,0.00,0,77.2,12.64,3.65,3.03,4.4,OFF,1.08,1.7,0.0,21,40,1.9,7.4,ON,ON,0.0
1.460,3620,5.2,0.957,0.00,0,77.1,12.62,3.57,3.03,4.4,OFF,1.08,1.7,0.0,20,40,1.9,7.4,ON,ON,0.0
1.500,3604,5.1,0.954,0.00,0,77.1,12.64,3.58,3.03,4.4,OFF,1.08,1.7,0.0,20,40,1.9,7.4,ON,ON,0.0
1.540,3637,5.2,0.954,0.00,0,77.1,12.63,3.61,3.03,4.4,OFF,1.08,1.7,0.0,20,40,1.9,7.4,ON,ON,0.0
1.580,3660,5.1,0.946,0.00,0,77.1,12.63,3.60,3.02,4.4,OFF,1.08,1.7,0.0,20,40,1.9,7.4,ON,ON,0.0
1.620,3602,5.1,0.948,0.00,0,77.1,12.62,3.62,3.02,4.4,OFF,1.08,1.7,0.0,21,40,1.9,7.4,ON,ON,0.0
1.660,3668,5.1,0.951,0.00,0,77.1,12.63,3.66,3.03,4.4,OFF,1.08,1.7,0.0,21,40,1.9,7.4,ON,ON,0.0
1.700,3667,5.1,0.953,0.00,0,77.1,12.62,3.59,3.02,4.4,OFF,1.08,1.7,0.0,20,40,1.9,7.4,ON,ON,0.0
1.740,3589,5.0,0.959,0.00,0,77.1,12.63,3.62,3.02,4.4,OFF,1.08,1.7,0.0,20,40,1.9,7.4,ON,ON,0.0
1.780,3655,5.1,0.967,0.00,0,77.1,12.62,3.64,3.02,4.4,OFF,1.08,1.7,0.0,21,40,1.9,7.4,ON,ON,0.0
1.820,3593,5.1,0.968,0.00,0,77.1,12.64,3.58,3.03,4.4,OFF,1.08,1.7,0.0,20,40,1.9,7.4,ON,ON,0.0
