TIME,RPM,TPS,Distância,Marcha,Temp._do_motor,Tensão_da_Bateria,Pressão_de_Óleo,Pressão_de_Combustível,Nível_de_combustível,Lenta,Velocidade_de_referência
0.020,0,11.4,0.00,0,77.8,12.43,0.00,2.17,2.7,OFF,0.0
0.060,0,11.4,0.00,0,77.8,12.43,0.00,2.17,2.7,OFF,0.0
0.100,0,11.3,0.00,0,77.8,12.42,0.00,2.17,2.7,OFF,0.0
0.140,0,11.4,0.00,0,77.8,12.43,0.00,2.17,2.7,OFF,0.0
0.180,0,11.3,0.00,0,77.8,12.43,0.00,2.17,2.7,OFF,0.0
0.220,0,11.4,0.00,0,77.8,12.42,0.00,2.17,2.7,OFF,0.0
0.260,0,11.4,0.00,0,77.8,12.42,0.00,2.17,2.7,OFF,0.0
0.300,0,11.3,0.00,0,77.8,12.42,0.00,2.17,2.7,OFF,0.0
0.340,0,11.4,0.00,0,77.8,12.42,0.00,2.17,2.7,OFF,0.0
0.380,0,11.3,0.00,0,77.8,12.43,0.00,2.17,2.7,OFF,0.0
0.420,0,11.4,0.00,0,77.8,12.43,0.00,2.17,2.7,OFF,0.0
0.460,0,11.4,0.00,0,77.8,12.43,0.00,2.17,2.7,OFF,0.0
0.500,0,11.3,0.00,0,77.8,12.43,0.00,2.17,2.7,OFF,0.0
0.540,0,11.4,0.00,0,77.8,12.43,0.00,2.17,2.7,OFF,0.0
0.580,0,11.3,0.00,0,77.8,12.42,0.00,2.17,2.7,OFF,0.0
0.620,0,11.4,0.00,0,77.8,12.43,0.00,2.17,2.7,OFF,0.0
0.660,0,11.3,0.00,0,77.8,12.42,0.00,2.17,2.7,OFF,0.0
0.700,0,11.3,0.00,0,77.8,12.43,0.00,2.17,2.7,OFF,0.0
0.740,0,11.4,0.00,0,77.8,12.42,0.00,2.17,2.7,OFF,0.0
0.780,0,11.3,0.00,0,77.8,12.42,0.00,2.17,2.7,OFF,0.0
0.820,0,11.3,0.00,0,77.8,12.42,0.00,2.17,2.7,OFF,0.0
0.860,0,11.4,0.00,0,77.8,12.42,0.00,2.17,2.7,OFF,0.0
0.900,0,11.3,0.00,0,77.8,12.42,0.00,2.17,2.7,OFF,0.0
0.940,0,11.4,0.00,0,77.8,12.42,0.00,2.17,2.7,OFF,0.0
0.980,0,11.4,0.00,0,77.8,12.42,0.00,2.17,2.7,OFF,0.0
1.020,0,11.4,0.00,0,77.8,12.42,0.00,2.17,2.7,OFF,0.0
1.060,0,11.4,0.00,0,77.8,12.42,0.00,2.17,2.7,OFF,0.0
1.100,0,11.3,0.00,0,77.8,12.42,0.00,2.17,2.7,OFF,0.0
1.140,0,11.4,0.00,0,77.8,12.42,0.00,2.17,2.7,OFF,0.0
1.180,0,11.3,0.00,0,77.8,12.42,0.00,2.17,2.7,OFF,0.0
1.220,0,11.4,0.00,0,77.8,12.42,0.00,2.17,2.7,OFF,0.0
1.260,0,11.4,0.00,0,77.8,12.42,0.00,2.17,2.7,OFF,0.0
1.300,0,11.3,0.00,0,77.8,12.42,0.00,2.17,2.7,OFF,0.0
1.340,0,11.4,0.00,0,77.8,12.42,0.00,2.17,2.7,OFF,0.0
1.380,0,11.3,0.00,0,77.8,12.42,0.00,2.17,2.7,OFF,0.0
1.420,0,11.4,0.00,0,77.8,12.42,0.00,2.17,2.7,OFF,0.0
1.460,0,11.3,0.00,0,77.8,12.42,0.00,2.17,2.7,OFF,0.0
1.500,0,11.4,0.00,0,77.8,12.42,0.00,2.17,2.7,OFF,0.0
1.540,0,11.4,0.00,0,77.8,12.42,0.00,2.17,2.7,OFF,0.0
1.580,0,11.4,0.00,0,77.8,12.42,0.00,2.17,2.7,OFF,0.0
1.620,0,11.3,0.00,0,77.8,12.41,0.00,2.16,2.7,OFF,0.0
1.660,0,11.4,0.00,0,77.8,12.41,0.00,2.16,2.7,OFF,0.0
1.700,0,11.3,0.00,0,77.8,12.42,0.00,2.16,2.7,OFF,0.0
1.740,0,11.4,0.00,0,77.8,12.42,0.00,2.16,2.7,OFF,0.0
1.780,0,11.4,0.00,0,77.8,12.42,0.00,2.16,2.7,OFF,0.0
