TIME,RPM,TPS,MAP,Sonda_Geral,2-step,Distância,Marcha,Temp._do_motor,Tensão_da_Bateria,Pressão_de_Óleo,Pressão_de_Combustível,Nível_de_combustível,Lenta,Consumo_medio,Potência_estimada,Torque_estimado,Velocidade_de_tração,Velocidade_de_referência
32.413,2628,1.9,-0.08,1.082,OFF,0.00,0,78.5,13.00,1.55,2.82,0.0,OFF,1.6,15,38,0.0,0.0
32.453,2645,1.8,-0.08,1.102,OFF,0.00,0,78.5,13.01,1.56,2.81,0.0,OFF,1.6,15,38,0.0,0.0
32.493,2660,1.9,-0.08,1.106,OFF,0.00,0,78.5,13.01,1.57,2.81,0.0,OFF,1.6,15,38,0.0,0.0
32.533,2693,1.7,-0.08,1.128,OFF,0.00,0,78.5,13.00,1.57,2.81,0.0,OFF,1.6,15,38,0.0,0.0
32.573,2777,1.8,-0.08,1.121,OFF,0.00,0,78.5,13.00,1.65,2.81,0.0,OFF,1.6,15,38,0.0,0.0
32.613,2724,1.8,-0.07,1.127,OFF,0.00,0,78.5,12.99,1.61,2.81,0.0,OFF,1.6,15,38,0.0,0.0
32.653,2767,1.7,-0.07,1.112,OFF,0.00,0,78.5,12.99,1.66,2.81,0.0,OFF,1.6,15,38,0.0,0.0
32.693,2727,1.7,-0.08,1.118,OFF,0.00,0,78.5,13.00,1.66,2.81,0.0,OFF,1.6,15,38,0.0,0.0
32.733,2777,1.8,-0.07,1.095,OFF,0.00,0,78.5,13.01,1.69,2.80,0.0,OFF,1.6,15,38,0.0,0.0
32.773,2736,1.9,-0.07,1.090,OFF,0.00,0,78.5,12.99,1.67,2.81,0.0,OFF,1.6,15,38,0.0,0.0
32.813,2797,1.7,-0.08,1.071,OFF,0.00,0,78.6,12.98,1.67,2.80,0.0,OFF,1.6,15,38,0.0,0.0
32.853,2782,1.9,-0.08,1.076,OFF,0.00,0,78.6,13.01,1.69,2.80,0.0,OFF,1.6,15,38,0.0,0.0
32.893,2783,1.8,-0.07,1.069,OFF,0.00,0,78.6,12.99,1.69,2.80,0.0,OFF,1.6,15,38,0.0,0.0
32.933,2764,1.8,-0.07,1.062,OFF,0.00,0,78.6,12.98,1.67,2.81,0.0,OFF,1.6,15,38,0.0,0.0
32.973,2737,1.8,-0.07,1.052,OFF,0.00,0,78.6,12.99,1.63,2.80,0.0,OFF,1.6,15,38,0.0,0.0
33.013,2710,1.9,-0.08,1.050,OFF,0.00,0,78.6,12.98,1.61,2.81,0.0,OFF,1.6,15,38,0.0,0.0
33.053,2691,1.8,-0.07,1.043,OFF,0.00,0,78.6,12.98,1.59,2.81,0.0,OFF,1.6,15,38,0.0,0.0
33.093,2696,1.8,-0.08,1.043,OFF,0.00,0,78.6,12.99,1.61,2.81,0.0,OFF,1.6,15,38,0.0,0.0
33.133,2674,1.7,-0.07,1.050,OFF,0.00,0,78.6,12.98,1.58,2.81,0.0,OFF,1.6,15,38,0.0,0.0
33.173,2702,1.8,-0.08,1.048,OFF,0.00,0,78.6,12.97,1.60,2.81,0.0,OFF,1.6,15,38,0.0,0.0
33.213,2689,1.7,-0.08,1.052,OFF,0.00,0,78.6,12.96,1.60,2.80,0.0,OFF,1.6,15,38,0.0,0.0
