TIME,RPM,TPS,MAP,Sonda_Geral,2-step,Distância,Marcha,Temp._do_motor,Tensão_da_Bateria,Pressão_de_Óleo,Pressão_de_Combustível,Nível_de_combustível,Lenta,Velocidade_de_tração,Velocidade_de_referência
9.689,3617,5.0,-0.07,0.959,OFF,0.00,0,83.0,12.94,2.57,2.66,0.0,OFF,0.0,0.0
9.729,3595,5.1,-0.07,0.958,OFF,0.00,0,83.0,12.95,2.54,2.66,0.0,OFF,0.0,0.0
9.769,3557,5.0,-0.07,0.964,OFF,0.00,0,83.0,12.94,2.55,2.66,0.0,OFF,0.0,0.0
9.809,3630,5.0,-0.07,0.960,OFF,0.00,0,83.0,12.95,2.56,2.66,0.0,OFF,0.0,0.0
9.849,3561,5.0,-0.07,0.954,OFF,0.00,0,83.0,12.95,2.53,2.66,0.0,OFF,0.0,0.0
9.889,3541,5.0,-0.07,0.952,OFF,0.00,0,83.0,12.93,2.56,2.66,0.0,OFF,0.0,0.0
9.929,3599,4.9,-0.07,0.955,OFF,0.00,0,83.0,12.94,2.55,2.66,0.0,OFF,0.0,0.0
9.969,3538,5.0,-0.07,0.961,OFF,0.00,0,83.0,12.91,2.49,2.66,0.0,OFF,0.0,0.0
10.009,3531,5.1,-0.07,0.954,OFF,0.00,0,83.0,12.92,2.49,2.66,0.0,OFF,0.0,0.0
10.049,3585,5.1,-0.07,0.952,OFF,0.00,0,83.0,12.91,2.53,2.66,0.0,OFF,0.0,0.0
10.089,3550,5.0,-0.07,0.952,OFF,0.00,0,83.0,12.91,2.50,2.66,0.0,OFF,0.0,0.0
10.129,3546,5.0,-0.07,0.956,OFF,0.00,0,83.0,12.91,2.54,2.66,0.0,OFF,0.0,0.0
10.169,3561,5.0,-0.07,0.961,OFF,0.00,0,83.0,12.91,2.50,2.66,0.0,OFF,0.0,0.0
10.209,3546,5.1,-0.07,0.949,OFF,0.00,0,83.0,12.93,2.53,2.66,0.0,OFF,0.0,0.0
10.249,3594,5.1,-0.07,0.960,OFF,0.00,0,83.0,12.92,2.51,2.66,0.0,OFF,0.0,0.0
