TIME,RPM,TPS,Sonda_Geral,2-step,Distância,Temp._do_motor,Tensão_da_Bateria,Pressão_de_Óleo,Pressão_de_Combustível,Velocidade_de_referência
5.378,1706,38.2,1.300,OFF,0.00,74.8,13.14,0.89,3.01,0.0
5.418,1606,38.3,1.300,OFF,0.00,74.8,13.14,0.83,3.01,0.0
5.458,1609,38.3,1.300,OFF,0.00,74.8,13.15,0.85,3.01,0.0
5.498,1765,38.3,1.300,OFF,0.00,74.8,13.14,0.91,3.01,0.0
5.538,1836,38.3,1.300,OFF,0.00,74.8,13.14,0.96,3.01,0.0
5.578,1801,38.3,1.300,OFF,0.00,74.8,13.14,0.93,3.01,0.0
5.618,1687,38.3,1.300,OFF,0.00,74.8,13.14,0.85,3.02,0.0
5.658,1541,38.3,1.300,OFF,0.00,74.8,13.15,0.81,3.01,0.0
5.698,1613,38.3,1.300,OFF,0.00,74.8,13.15,0.84,3.01,0.0
5.738,1751,38.3,1.300,OFF,0.00,74.8,13.14,0.91,3.01,0.0
5.778,1888,38.3,1.300,OFF,0.00,74.8,13.14,0.98,3.01,0.0
5.818,1857,38.3,1.300,OFF,0.00,74.8,13.15,0.99,3.01,0.0
5.858,1677,38.3,1.300,OFF,0.00,74.8,13.15,0.91,3.02,0.0
5.898,1573,38.3,1.300,OFF,0.00,74.8,13.15,0.84,3.02,0.0
5.938,1616,38.3,1.300,OFF,0.00,74.8,13.13,0.84,3.01,0.0
5.978,1694,38.3,1.300,OFF,0.00,74.8,13.14,0.87,3.02,0.0
6.018,1816,38.3,1.300,OFF,0.00,74.8,13.14,0.94,3.00,0.0
6.058,1889,38.3,1.300,OFF,0.00,74.8,13.15,0.98,3.01,0.0
6.098,1847,38.3,1.300,OFF,0.00,74.8,13.14,0.96,3.00,0.0
6.138,1769,38.2,1.300,OFF,0.00,74.8,13.14,0.94,3.01,0.0
6.178,1749,38.3,1.300,OFF,0.00,74.8,13.14,0.92,3.01,0.0
6.218,1777,38.2,1.300,OFF,0.00,74.8,13.14,0.94,3.00,0.0
6.258,1737,38.3,1.300,OFF,0.00,74.8,13.14,0.91,3.01,0.0
