TIME,RPM,TPS,MAP,Sonda_Geral,2-step,Distância,Marcha,Temp._do_motor,Tensão_da_Bateria,Pressão_de_Óleo,Pressão_de_Combustível,Nível_de_combustível,Lenta,Velocidade_de_tração,Velocidade_de_referência
0.837,2671,3.1,-0.07,0.650,OFF,0.00,0,68.3,12.91,2.36,2.77,0.0,OFF,0.0,0.0
0.877,2653,3.1,-0.07,0.650,OFF,0.00,0,68.3,12.91,2.32,2.77,0.0,OFF,0.0,0.0
0.917,2706,3.1,-0.07,0.650,OFF,0.00,0,68.3,12.91,2.39,2.77,0.0,OFF,0.0,0.0
0.957,2650,3.1,-0.07,0.650,OFF,0.00,0,68.3,12.91,2.32,2.78,0.0,OFF,0.0,0.0
0.997,2730,3.2,-0.07,0.650,OFF,0.00,0,68.3,12.92,2.36,2.78,0.0,OFF,0.0,0.0
1.037,2667,3.1,-0.07,0.650,OFF,0.00,0,68.3,12.92,2.32,2.78,0.0,OFF,0.0,0.0
1.077,2724,3.1,-0.07,0.650,OFF,0.00,0,68.3,12.91,2.36,2.78,0.0,OFF,0.0,0.0
1.117,2655,3.1,-0.07,0.650,OFF,0.00,0,68.3,12.91,2.30,2.77,0.0,OFF,0.0,0.0
1.157,2714,3.2,-0.07,0.650,OFF,0.00,0,68.3,12.91,2.37,2.78,0.0,OFF,0.0,0.0
1.197,2691,3.1,-0.07,0.650,OFF,0.00,0,68.3,12.91,2.35,2.78,0.0,OFF,0.0,0.0
1.237,2712,3.1,-0.07,0.650,OFF,0.00,0,68.3,12.92,2.37,2.78,0.0,OFF,0.0,0.0
1.277,2679,3.2,-0.07,0.650,OFF,0.00,0,68.3,12.91,2.34,2.78,0.0,OFF,0.0,0.0
1.317,2687,3.2,-0.07,0.650,OFF,0.00,0,68.3,12.92,2.35,2.78,0.0,OFF,0.0,0.0
1.357,2718,3.2,-0.07,0.650,OFF,0.00,0,68.3,12.92,2.38,2.78,0.0,OFF,0.0,0.0
1.397,2726,3.2,-0.07,0.650,OFF,0.00,0,68.3,12.92,2.37,2.78,0.0,OFF,0.0,0.0
1.437,2708,3.2,-0.07,0.650,OFF,0.00,0,68.4,12.91,2.38,2.78,0.0,OFF,0.0,0.0
1.477,2750,3.2,-0.07,0.650,OFF,0.00,0,68.4,12.92,2.43,2.79,0.0,OFF,0.0,0.0
1.517,2676,3.2,-0.07,0.650,OFF,0.00,0,68.4,12.92,2.35,2.78,0.0,OFF,0.0,0.0
1.557,2750,3.2,-0.07,0.650,OFF,0.00,0,68.4,12.92,2.43,2.78,0.0,OFF,0.0,0.0
1.597,2710,3.2,-0.07,0.650,OFF,0.00,0,68.4,12.91,2.40,2.78,0.0,OFF,0.0,0.0
1.637,2764,3.1,-0.07,0.650,OFF,0.00,0,68.4,12.92,2.44,2.78,0.0,OFF,0.0,0.0
1.677,2732,3.1,-0.07,0.650,OFF,0.00,0,68.4,12.94,2.45,2.78,0.0,OFF,0.0,0.0
