TIME,RPM,TPS,Marcha,Temp._do_motor,Temp._do_Ar,Tensão_da_Bateria,Pressão_de_Óleo,Pressão_de_Combustível,Nível_de_combustível
0.010,277,9.7,0,59.7,-25.0,9.67,0.01,3.13,2.5
0.050,292,9.8,0,59.7,-25.0,10.44,0.05,3.18,2.5
0.090,804,9.8,0,59.7,-25.0,10.66,0.05,3.21,2.5
0.130,807,9.4,0,59.7,-25.0,10.82,0.04,3.22,2.5
0.170,777,9.4,0,59.8,-25.0,12.14,0.02,3.21,2.5
0.210,779,9.4,0,59.8,-25.0,12.08,0.02,3.24,2.5
0.250,844,9.4,0,60.0,-25.0,12.38,0.05,3.26,2.5
0.290,1008,9.4,0,60.0,-25.0,12.27,0.06,3.25,2.5
0.330,1030,9.4,0,60.0,-25.0,12.27,0.06,3.25,2.5
0.370,1013,9.4,0,60.0,-25.0,12.16,0.04,3.26,2.5
0.410,896,9.5,0,60.0,-25.0,12.47,0.06,3.26,2.5
0.450,1253,9.5,0,60.0,-25.0,12.51,0.12,3.26,2.5
0.490,1259,9.5,0,60.0,-25.0,12.54,0.20,3.25,2.5
0.530,1301,9.5,0,60.0,-25.0,12.56,0.33,3.25,2.5
0.570,1382,9.5,0,60.0,-25.0,12.60,0.44,3.26,2.5
0.610,1623,9.5,0,60.0,-25.0,12.57,0.60,3.25,2.5
0.650,1719,9.6,0,60.0,-25.0,12.59,0.77,3.24,2.5
0.690,1798,9.6,0,60.0,-25.0,12.57,0.94,3.23,2.5
0.730,1904,9.6,0,60.0,-25.0,12.58,1.14,3.23,2.5
0.770,2025,9.6,0,60.0,-25.0,12.59,1.34,3.22,2.5
0.810,2066,9.6,0,60.0,-25.0,12.58,1.45,3.21,2.5
0.850,2095,9.6,0,60.0,-25.0,12.61,1.54,3.21,2.5
0.890,2084,9.6,0,60.0,-25.0,12.59,1.58,3.21,2.5
0.930,2069,9.6,0,60.0,-25.0,12.61,1.62,3.21,2.5
0.970,2162,9.6,0,60.0,-25.0,12.61,1.67,3.21,2.5
1.010,2134,9.6,0,60.0,-25.0,12.61,1.70,3.21,2.5
1.050,2231,9.6,0,60.0,-25.0,12.61,1.78,3.20,2.5
1.090,2232,8.0,0,60.0,-25.0,12.62,1.80,3.20,2.5
1.130,2329,7.6,0,60.0,-25.0,12.62,1.91,3.19,2.5
1.170,2389,7.5,0,60.0,-25.0,12.62,2.00,3.17,2.5
1.210,2390,7.0,0,60.0,-25.0,12.62,2.04,3.17,2.5
1.250,2575,6.8,0,60.0,-25.0,12.62,2.16,3.16,2.5
1.290,2592,6.7,0,60.0,-25.0,12.62,2.20,3.14,2.5
1.330,2709,6.8,0,60.0,-25.0,12.65,2.31,3.14,2.5
1.370,2700,6.7,0,60.0,-25.0,12.65,2.40,3.13,2.5
1.410,2787,6.4,0,60.0,-25.0,12.64,2.46,3.13,2.5
1.450,2774,5.9,0,60.0,-25.0,12.65,2.49,3.12,2.5
1.490,2802,5.6,0,60.0,-25.0,12.65,2.54,3.11,2.5
1.530,2757,4.9,0,60.0,-25.0,12.65,2.53,3.10,2.5
1.570,2828,4.2,0,60.0,-25.0,12.63,2.52,3.10,2.5
1.610,2769,3.6,0,60.0,-25.0,12.65,2.52,3.09,2.5
1.650,2804,3.0,0,60.0,-25.0,12.63,2.51,3.08,2.5
1.690,2697,2.9,0,60.0,-25.0,12.64,2.49,3.08,2.5
1.730,2758,2.8,0,60.0,-25.0,12.65,2.49,3.07,2.5
1.770,2822,2.7,0,60.0,-25.0,12.65,2.57,3.06,2.5
