TIME,RPM,TPS,Ponto_de_ignição,Distância,Fluxo_total_de_combustível,Temp._do_motor,Tensão_da_Bateria,Pressão_de_Óleo,Pressão_de_Combustível,Nível_de_combustível,Velocidade_de_referência
8.348,5159,10.0,23.17,0.00,14.1,70.2,13.17,5.09,2.57,0.0,0.0
8.388,5151,10.0,23.17,0.00,14.2,70.2,13.16,5.10,2.57,0.0,0.0
8.428,5144,10.0,23.17,0.00,14.0,70.2,13.17,5.05,2.58,0.0,0.0
8.468,5149,10.0,23.17,0.00,14.0,70.3,13.16,5.04,2.57,0.0,0.0
8.508,5151,10.0,23.17,0.00,14.1,70.3,13.17,5.02,2.57,0.0,0.0
8.548,5157,10.0,23.20,0.00,14.1,70.3,13.17,5.08,2.57,0.0,0.0
8.588,5161,10.0,23.11,0.00,14.1,70.3,13.17,5.08,2.58,0.0,0.0
8.628,5149,9.9,23.11,0.00,14.1,70.3,13.17,5.05,2.57,0.0,0.0
8.668,5146,10.0,23.14,0.00,14.1,70.3,13.17,5.04,2.57,0.0,0.0
8.708,5154,10.0,23.20,0.00,14.2,70.3,13.17,5.07,2.57,0.0,0.0
8.748,5159,10.0,23.19,0.00,14.1,70.3,13.17,5.08,2.57,0.0,0.0
8.788,5177,10.0,23.20,0.00,14.2,70.3,13.17,5.08,2.58,0.0,0.0
8.828,5153,10.1,23.20,0.00,14.1,70.4,13.17,5.04,2.57,0.0,0.0
8.868,5146,10.0,23.10,0.00,14.1,70.4,13.17,5.06,2.57,0.0,0.0
8.908,5134,10.0,23.10,0.00,14.1,70.4,13.18,5.06,2.57,0.0,0.0
8.948,5148,10.1,23.17,0.00,14.0,70.4,13.17,5.06,2.57,0.0,0.0
8.988,5150,10.0,23.14,0.00,14.1,70.4,13.17,5.07,2.57,0.0,0.0
9.028,5117,10.0,23.11,0.00,14.0,70.4,13.18,5.03,2.57,0.0,0.0
9.068,5146,10.0,23.13,0.00,14.1,70.4,13.18,5.05,2.58,0.0,0.0
9.108,5152,10.0,23.19,0.00,14.2,70.4,13.18,5.08,2.57,0.0,0.0
9.148,5159,10.1,23.19,0.00,14.1,70.4,13.18,5.07,2.57,0.0,0.0
9.188,5163,10.0,23.20,0.00,14.2,70.4,13.17,5.08,2.58,0.0,0.0
9.228,5185,10.0,23.20,0.00,14.2,70.5,13.18,5.04,2.58,0.0,0.0
9.268,5191,10.1,23.20,0.00,14.2,70.5,13.17,5.10,2.58,0.0,0.0
9.308,5191,10.0,23.20,0.00,14.2,70.5,13.18,5.07,2.57,0.0,0.0
9.348,5156,10.0,23.20,0.00,14.2,70.5,13.17,5.05,2.57,0.0,0.0
9.388,5152,10.0,23.20,0.00,14.2,70.5,13.17,5.09,2.57,0.0,0.0
9.428,5153,10.1,23.18,0.00,14.1,70.5,13.17,5.08,2.57,0.0,0.0
9.468,5147,10.0,23.13,0.00,14.2,70.5,13.17,5.05,2.57,0.0,0.0
9.508,5128,10.0,23.11,0.00,14.0,70.5,13.18,5.05,2.57,0.0,0.0
9.548,5146,10.0,23.13,0.00,14.1,70.5,13.18,5.06,2.57,0.0,0.0
9.588,5153,10.0,23.19,0.00,14.2,70.5,13.18,5.09,2.57,0.0,0.0
9.628,5177,10.0,23.20,0.00,14.1,70.6,13.17,5.08,2.57,0.0,0.0
9.668,5162,9.9,23.18,0.00,14.1,70.6,13.18,5.02,2.58,0.0,0.0
9.708,5159,10.0,23.20,0.00,14.1,70.6,13.17,5.04,2.58,0.0,0.0
9.748,5154,10.1,23.14,0.00,14.1,70.6,13.18,5.09,2.58,0.0,0.0
9.788,5160,10.0,23.20,0.00,14.1,70.6,13.18,5.08,2.57,0.0,0.0
9.828,5161,10.0,23.20,0.00,14.1,70.6,13.18,5.03,2.57,0.0,0.0
9.868,5151,10.0,23.18,0.00,14.2,70.6,13.18,5.04,2.57,0.0,0.0
9.908,5135,10.0,23.13,0.00,14.1,70.6,13.18,5.09,2.57,0.0,0.0
9.948,5129,9.9,23.10,0.00,14.0,70.6,13.18,5.05,2.57,0.0,0.0
9.988,5140,10.0,23.10,0.00,14.1,70.6,13.18,5.05,2.57,0.0,0.0
10.028,5144,10.0,23.10,0.00,14.1,70.7,13.18,5.04,2.58,0.0,0.0
10.068,5155,10.0,23.19,0.00,14.2,70.7,13.19,5.02,2.58,0.0,0.0
10.108,5149,10.0,23.19,0.00,14.1,70.7,13.18,5.03,2.58,0.0,0.0
10.148,5151,10.0,23.20,0.00,14.2,70.7,13.18,5.10,2.58,0.0,0.0
10.188,5138,9.9,23.11,0.00,14.1,70.7,13.18,5.05,2.58,0.0,0.0
10.228,5147,10.0,23.14,0.00,14.2,70.7,13.18,5.03,2.58,0.0,0.0
10.268,5143,10.0,23.13,0.00,14.1,70.7,13.18,5.05,2.58,0.0,0.0
10.308,5139,10.0,23.11,0.00,14.1,70.7,13.17,5.05,2.58,0.0,0.0
10.348,5143,10.0,23.14,0.00,14.1,70.8,13.18,5.07,2.58,0.0,0.0
10.388,5133,10.0,23.10,0.00,14.2,70.8,13.17,5.08,2.58,0.0,0.0
10.428,5137,10.0,23.10,0.00,14.0,70.8,13.18,5.02,2.58,0.0,0.0
10.468,5131,9.9,23.10,0.00,14.0,70.8,13.19,5.00,2.58,0.0,0.0
10.508,5149,10.0,23.17,0.00,14.1,70.8,13.18,5.03,2.58,0.0,0.0
10.548,5153,10.0,23.17,0.00,14.1,70.8,13.19,5.06,2.58,0.0,0.0
10.588,5139,10.0,23.11,0.00,14.1,70.8,13.18,5.07,2.58,0.0,0.0
10.628,5141,10.0,23.11,0.00,14.1,70.8,13.19,5.07,2.58,0.0,0.0
10.668,5154,10.0,23.19,0.00,14.2,70.8,13.19,5.06,2.58,0.0,0.0
10.708,5156,10.0,23.19,0.00,14.2,70.8,13.19,5.06,2.58,0.0,0.0
10.748,5175,10.0,23.20,0.00,14.2,70.8,13.19,5.08,2.58,0.0,0.0
10.788,5171,9.9,23.20,0.00,14.2,70.9,13.19,5.06,2.58,0.0,0.0
10.828,5174,10.0,23.20,0.00,14.2,70.9,13.18,5.05,2.58,0.0,0.0
10.868,5161,10.0,23.20,0.00,14.2,70.9,13.19,5.04,2.58,0.0,0.0
10.908,5145,10.0,23.11,0.00,14.1,70.9,13.18,5.06,2.58,0.0,0.0
10.948,5143,10.0,23.10,0.00,14.1,70.9,13.19,5.05,2.58,0.0,0.0
10.988,5138,10.0,23.10,0.00,14.1,70.9,13.19,5.02,2.58,0.0,0.0
11.028,5141,10.0,23.10,0.00,14.2,70.9,13.19,5.01,2.58,0.0,0.0
