TIME,RPM,TPS,Temp._do_motor,Temp._do_Ar,Tensão_da_Bateria,Pressão_de_Óleo,Pressão_de_Combustível,Nível_de_combustível
0.010,215,8.2,65.5,-25.0,9.87,0.01,3.12,2.5
0.050,215,10.2,65.5,-25.0,9.38,0.00,3.14,2.5
0.090,215,12.8,65.5,-25.0,9.70,0.00,3.11,2.5
0.130,215,18.7,65.5,-25.0,10.01,0.01,3.16,2.5
0.170,216,22.6,65.5,-25.0,9.46,0.00,3.14,2.5
0.210,299,24.5,65.5,-25.0,9.98,0.02,3.13,2.5
0.250,302,25.7,65.5,-25.0,10.41,0.03,3.18,2.5
0.290,341,26.0,65.5,-25.0,10.38,0.03,3.20,2.5
0.330,625,26.1,65.5,-25.0,10.75,0.05,3.20,2.5
0.370,790,26.2,65.4,-25.0,10.98,0.05,3.23,2.5
0.410,813,26.2,65.4,-25.0,11.24,0.08,3.24,2.5
0.450,998,26.2,65.4,-25.0,11.26,0.09,3.26,2.5
0.490,1023,26.3,65.4,-25.0,11.22,0.11,3.27,2.5
0.530,856,26.3,65.4,-25.0,11.43,0.14,3.27,2.5
0.570,882,26.0,65.4,-25.0,11.76,0.13,3.24,2.5
0.610,1750,26.0,65.5,-25.0,12.53,0.16,3.24,2.5
0.650,2095,26.0,65.6,-25.0,12.51,0.27,3.25,2.5
0.690,2164,26.1,65.7,-25.0,12.49,0.49,3.25,2.5
0.730,2447,26.0,65.7,-25.0,12.51,0.78,3.25,2.5
0.770,2558,26.1,65.7,-25.0,12.49,1.20,3.25,2.5
0.810,2802,26.0,65.7,-25.0,12.52,1.69,3.23,2.5
0.850,3035,17.4,65.7,-25.0,12.52,2.17,3.22,2.5
0.890,3257,14.5,65.7,-25.0,12.52,2.56,3.18,2.5
0.930,3518,14.4,65.7,-25.0,12.53,2.94,3.14,2.5
0.970,3836,14.3,65.7,-25.0,12.54,3.35,3.12,2.5
1.010,4057,14.3,65.7,-25.0,12.54,3.78,3.10,2.5
1.050,4484,14.3,65.7,-25.0,12.54,4.26,3.06,2.5
1.090,5000,14.3,65.7,-25.0,12.52,4.85,3.00,2.5
1.130,5370,14.3,65.7,-25.0,12.52,5.18,2.95,2.5
1.170,5576,14.2,65.7,-25.0,12.52,5.30,2.92,2.5
1.210,5684,14.2,65.7,-25.0,12.54,5.34,2.91,2.5
1.250,5784,11.8,65.7,-25.0,12.52,5.38,2.89,2.5
1.290,5772,10.0,65.7,-25.0,12.52,5.38,2.86,2.5
1.330,5629,9.7,65.7,-25.0,12.53,5.33,2.83,2.5
1.370,5485,9.7,65.7,-25.0,12.55,5.30,2.81,2.5
1.410,5266,9.8,65.7,-25.0,12.56,5.25,2.81,2.5
1.450,5100,9.7,65.7,-25.0,12.58,5.17,2.80,2.5
1.490,4929,9.6,65.7,-25.0,12.58,5.09,2.80,2.5
1.530,4819,9.7,65.7,-25.0,12.58,5.03,2.80,2.5
1.570,4675,10.4,65.7,-25.0,12.59,4.95,2.81,2.5
1.610,4596,12.2,65.7,-25.0,12.58,4.81,2.83,2.5
1.650,4565,13.4,65.7,-25.0,12.58,4.75,2.85,2.5
1.690,4587,13.7,65.7,-25.0,12.60,4.74,2.88,2.5
1.730,4711,13.8,65.7,-25.0,12.60,4.84,2.89,2.5
1.770,4934,13.9,65.7,-25.0,12.58,5.01,2.90,2.5
1.810,5137,13.9,65.7,-25.0,12.59,5.14,2.89,2.5
1.850,5353,14.1,65.7,-25.0,12.58,5.23,2.88,2.5
1.890,5463,14.0,65.7,-25.0,12.59,5.28,2.88,2.5
1.930,5501,14.1,65.7,-25.0,12.58,5.28,2.88,2.5
1.970,5537,13.9,65.7,-25.0,12.58,5.31,2.87,2.5
2.010,5526,12.5,65.7,-25.0,12.58,5.32,2.87,2.5
2.050,5502,12.2,65.7,-25.0,12.59,5.33,2.86,2.5
2.090,5478,12.1,65.7,-25.0,12.60,5.28,2.85,2.5
2.130,5432,12.0,65.7,-25.0,12.59,5.28,2.85,2.5
2.170,5387,12.0,65.7,-25.0,12.59,5.25,2.84,2.5
2.210,5330,12.0,65.7,-25.0,12.61,5.26,2.84,2.5
2.250,5316,12.0,65.7,-25.0,12.61,5.26,2.84,2.5
2.290,5282,12.0,65.7,-25.0,12.61,5.23,2.83,2.5
2.330,5280,12.0,65.7,-25.0,12.61,5.23,2.83,2.5
2.370,5248,11.9,65.7,-25.0,12.61,5.22,2.82,2.5
2.410,5203,12.0,65.7,-25.0,12.61,5.20,2.83,2.5
2.450,5196,11.9,65.7,-25.0,12.62,5.22,2.83,2.5
2.490,5217,12.0,65.7,-25.0,12.62,5.19,2.83,2.5
2.530,5169,11.9,65.7,-25.0,12.62,5.19,2.83,2.5
2.570,5192,11.9,65.7,-25.0,12.62,5.18,2.83,2.5
2.610,5159,11.9,65.8,-25.0,12.63,5.16,2.83,2.5
2.650,5153,11.5,65.8,-25.0,12.63,5.18,2.83,2.5
2.690,5121,11.3,65.8,-25.0,12.63,5.19,2.83,2.5
2.730,5099,11.2,65.8,-25.0,12.64,5.17,2.83,2.5
2.770,5069,11.1,65.8,-25.0,12.63,5.17,2.83,2.5
2.810,5036,11.0,65.8,-25.0,12.64,5.15,2.83,2.5
2.850,5031,10.8,65.8,-25.0,12.65,5.14,2.83,2.5
2.890,5020,10.7,65.8,-25.0,12.64,5.13,2.82,2.5
2.930,5000,10.4,65.8,-25.0,12.65,5.10,2.82,2.5
2.970,4954,10.3,65.8,-25.0,12.65,5.10,2.83,2.5
3.010,4886,10.0,65.8,-25.0,12.66,5.09,2.82,2.5
3.050,4801,9.9,65.8,-25.0,12.66,5.05,2.82,2.5
3.090,4740,9.8,65.8,-25.0,12.66,5.04,2.83,2.5
3.130,4730,9.7,65.8,-25.0,12.66,4.94,2.83,2.5
3.170,4700,9.7,65.8,-25.0,12.66,4.92,2.83,2.5
3.210,4653,9.6,65.8,-25.0,12.67,4.86,2.83,2.5
3.250,4645,9.4,65.8,-25.0,12.67,4.89,2.84,2.5
3.290,4670,9.5,65.8,-25.0,12.67,4.91,2.83,2.5
3.330,4673,9.5,65.8,-25.0,12.67,4.86,2.84,2.5
3.370,4651,9.4,65.8,-25.0,12.68,4.85,2.84,2.5
3.410,4636,9.3,65.8,-25.0,12.68,4.84,2.84,2.5
3.450,4622,9.3,65.8,-25.0,12.68,4.88,2.84,2.5
3.490,4618,9.3,65.8,-25.0,12.68,4.84,2.84,2.5
3.530,4624,9.3,65.8,-25.0,12.68,4.83,2.85,2.5
3.570,4562,8.3,65.8,-25.0,12.68,4.75,2.85,2.5
3.610,4527,6.5,65.8,-25.0,12.68,4.72,2.84,2.5
3.650,4473,5.3,65.8,-25.0,12.69,4.69,2.84,2.5
3.690,4401,5.0,65.8,-25.0,12.69,4.64,2.83,2.5
3.730,4269,4.9,65.9,-25.0,12.69,4.48,2.83,2.5
3.770,4041,4.8,65.9,-25.0,12.70,4.24,2.84,2.5
3.810,3870,4.8,65.9,-25.0,12.69,4.02,2.86,2.5
3.850,3685,4.7,65.9,-25.0,12.69,3.69,2.87,2.5
3.890,3454,4.6,65.9,-25.0,12.71,3.37,2.88,2.5
3.930,3264,4.7,65.9,-25.0,12.71,3.15,2.90,2.5
3.970,3176,4.9,65.9,-25.0,12.72,2.90,2.91,2.5
4.010,3054,5.3,65.9,-25.0,12.71,2.76,2.93,2.5
4.050,2893,5.8,65.9,-25.0,12.72,2.54,2.96,2.5
4.090,2718,6.1,65.9,-25.0,12.71,2.36,2.99,2.5
4.130,2644,6.2,65.9,-25.0,12.71,2.17,3.02,2.5
4.170,2606,6.3,65.9,-25.0,12.72,2.16,3.03,2.5
4.210,2559,6.4,65.9,-25.0,12.73,2.06,3.05,2.5
4.250,2675,6.4,65.9,-25.0,12.72,2.17,3.07,2.5
4.290,2553,6.5,65.9,-25.0,12.74,2.10,3.07,2.5
4.330,2699,6.5,65.9,-25.0,12.72,2.23,3.09,2.5
4.370,2666,6.5,65.9,-25.0,12.74,2.20,3.08,2.5
4.410,2855,6.5,66.0,-25.0,12.73,2.37,3.08,2.5
4.450,2798,6.6,66.0,-25.0,12.74,2.38,3.09,2.5
4.490,2843,6.6,66.0,-25.0,12.73,2.43,3.10,2.5
4.530,2809,6.6,66.0,-25.0,12.74,2.40,3.09,2.5
4.570,2860,6.6,66.0,-25.0,12.74,2.45,3.08,2.5
4.610,2838,6.6,66.0,-25.0,12.74,2.44,3.08,2.5
4.650,2857,6.5,66.0,-25.0,12.73,2.46,3.10,2.5
4.690,2810,6.6,66.0,-25.0,12.75,2.40,3.10,2.5
4.730,2800,6.6,66.0,-25.0,12.74,2.40,3.09,2.5
4.770,2759,6.6,66.0,-25.0,12.74,2.35,3.09,2.5
4.810,2775,6.6,66.0,-25.0,12.75,2.33,3.11,2.5
4.850,2740,6.7,66.0,-25.0,12.74,2.30,3.10,2.5
4.890,2855,6.6,66.0,-25.0,12.74,2.42,3.09,2.5
4.930,2844,6.6,66.0,-25.0,12.75,2.40,3.10,2.5
4.970,2880,6.6,66.0,-25.0,12.75,2.44,3.11,2.5
5.010,2845,6.6,66.0,-25.0,12.75,2.42,3.10,2.5
5.050,2925,6.6,66.0,-25.0,12.74,2.51,3.09,2.5
5.090,2920,6.7,66.0,-25.0,12.75,2.52,3.08,2.5
5.130,2998,6.6,66.0,-25.0,12.73,2.61,3.08,2.5
5.170,3002,6.6,66.0,-25.0,12.74,2.65,3.08,2.5
5.210,3063,6.6,66.0,-25.0,12.74,2.72,3.07,2.5
5.250,3106,6.6,66.0,-25.0,12.75,2.77,3.07,2.5
5.290,3136,6.6,66.1,-25.0,12.74,2.81,3.07,2.5
5.330,3215,6.7,66.1,-25.0,12.74,2.89,3.06,2.5
5.370,3247,6.6,66.1,-25.0,12.73,2.95,3.04,2.5
5.410,3323,6.6,66.1,-25.0,12.76,3.02,3.03,2.5
5.450,3334,6.6,66.1,-25.0,12.74,3.05,3.02,2.5
5.490,3331,6.6,66.1,-25.0,12.75,3.05,3.01,2.5
5.530,3334,6.7,66.1,-25.0,12.74,3.06,3.02,2.5
5.570,3285,6.7,66.1,-25.0,12.75,3.02,3.01,2.5
5.610,3364,6.6,66.1,-25.0,12.75,3.09,3.01,2.5
5.650,3329,6.6,66.1,-25.0,12.74,3.08,3.00,2.5
5.690,3337,6.5,66.1,-25.0,12.75,3.13,3.00,2.5
5.730,3377,6.5,66.1,-25.0,12.74,3.11,3.00,2.5
5.770,3300,6.4,66.1,-25.0,12.75,3.08,3.00,2.5
5.810,3416,6.4,66.1,-25.0,12.74,3.16,2.99,2.5
5.850,3339,6.3,66.1,-25.0,12.76,3.12,2.99,2.5
5.890,3477,6.4,66.1,-25.0,12.75,3.25,2.99,2.5
5.930,3423,6.4,66.1,-25.0,12.76,3.20,2.99,2.5
5.970,3468,6.4,66.1,-25.0,12.76,3.34,2.98,2.5
6.010,3574,6.4,66.1,-25.0,12.75,3.39,2.98,2.5
6.050,3517,6.4,66.1,-25.0,12.75,3.35,2.98,2.5
6.090,3508,6.3,66.2,-25.0,12.76,3.35,2.98,2.5
6.130,3537,6.3,66.2,-25.0,12.75,3.32,2.98,2.5
6.170,3441,6.3,66.2,-25.0,12.75,3.26,2.98,2.5
6.210,3467,6.3,66.2,-25.0,12.76,3.34,2.98,2.5
6.250,3506,6.3,66.2,-25.0,12.76,3.28,2.98,2.5
6.290,3432,6.3,66.2,-25.0,12.77,3.31,2.98,2.5
6.330,3518,6.3,66.2,-25.0,12.76,3.32,2.98,2.5
6.370,3416,6.3,66.2,-25.0,12.75,3.25,2.98,2.5
6.410,3502,6.3,66.2,-25.0,12.77,3.30,2.98,2.5
6.450,3486,6.3,66.2,-25.0,12.76,3.25,2.97,2.5
