TIME,RPM,TPS,Temp._do_motor,Temp._do_Ar,Tensão_da_Bateria,Pressão_de_Óleo,Pressão_de_Combustível,Nível_de_combustível
0.010,262,19.8,74.6,-25.0,9.67,0.06,3.12,2.5
0.050,262,20.8,74.6,-25.0,10.22,0.05,3.18,2.5
0.090,262,20.9,74.6,-25.0,10.34,0.07,3.21,2.5
0.130,263,20.9,74.5,-25.0,9.84,0.05,3.18,2.5
0.170,383,21.0,74.5,-25.0,10.14,0.06,3.18,2.5
0.210,387,20.9,74.6,-25.0,9.66,0.07,3.17,2.5
0.250,387,21.0,74.6,-25.0,9.81,0.07,3.14,2.5
0.290,387,21.0,74.6,-25.0,9.90,0.09,3.18,2.5
0.330,386,20.9,74.6,-25.0,9.39,0.06,3.14,2.5
0.370,311,21.0,74.6,-25.0,9.90,0.10,3.14,2.5
0.410,309,21.0,74.6,-25.0,9.74,0.08,3.16,2.5
0.450,309,21.1,74.6,-25.0,10.15,0.12,3.16,2.5
0.490,489,21.2,74.6,-25.0,10.40,0.09,3.21,2.5
0.530,514,22.9,74.5,-25.0,10.14,0.07,3.20,2.5
0.570,514,23.6,74.5,-25.0,10.42,0.12,3.20,2.5
0.610,512,23.7,74.5,-25.0,10.58,0.11,3.22,2.5
0.650,499,23.7,74.5,-25.0,10.36,0.17,3.22,2.5
0.690,499,23.8,74.5,-25.0,10.59,0.26,3.22,2.5
0.730,499,23.8,74.5,-25.0,10.57,0.23,3.23,2.5
0.770,554,25.4,74.5,-25.0,10.42,0.24,3.20,2.5
0.810,556,30.5,74.5,-25.0,10.64,0.30,3.22,2.5
0.850,671,34.0,74.5,-25.0,10.82,0.32,3.23,2.5
0.890,700,34.8,74.5,-25.0,11.09,0.50,3.24,2.5
0.930,1121,35.0,74.5,-25.0,11.22,0.61,3.26,2.5
0.970,1320,35.1,74.4,-25.0,11.39,0.83,3.26,2.5
1.010,1700,35.1,74.4,-25.0,11.49,1.05,3.27,2.5
1.050,1659,35.1,74.4,-25.0,11.53,1.00,3.27,2.5
1.090,1663,34.7,74.4,-25.0,11.75,1.09,3.25,2.5
1.130,2064,31.7,74.7,-25.0,12.30,1.30,3.22,2.5
1.170,2091,21.5,74.9,-25.0,12.28,1.37,3.22,2.5
1.210,2281,21.0,75.1,-25.0,12.30,1.56,3.21,2.5
1.250,2395,20.9,75.1,-25.0,12.31,1.64,3.20,2.5
1.290,2517,20.9,75.1,-25.0,12.31,1.85,3.21,2.5
1.330,2702,20.9,75.1,-25.0,12.34,2.00,3.20,2.5
1.370,2891,21.0,75.1,-25.0,12.32,2.16,3.20,2.5
1.410,3083,21.3,75.1,-25.0,12.35,2.35,3.19,2.5
1.450,3408,21.5,75.1,-25.0,12.35,2.71,3.17,2.5
1.490,3675,21.6,75.1,-25.0,12.36,3.04,3.16,2.5
1.530,4123,21.7,75.1,-25.0,12.35,3.46,3.15,2.5
1.570,4779,21.8,75.1,-25.0,12.34,4.16,3.08,2.5
1.610,5346,21.7,75.1,-25.0,12.36,4.86,2.96,2.5
1.650,5699,21.7,75.1,-25.0,12.34,5.18,2.97,2.5
1.690,6062,18.6,75.1,-25.0,12.34,5.30,2.97,2.5
1.730,6314,13.8,75.1,-25.0,12.35,5.42,2.94,2.5
1.770,6449,0.8,75.1,-25.0,12.35,5.44,2.87,2.5
1.810,6268,0.3,75.1,-25.0,12.36,5.43,2.77,2.5
1.850,5967,0.2,75.1,-25.0,12.36,5.32,2.73,2.5
1.890,5584,1.7,75.1,-25.0,12.37,5.20,2.70,2.5
1.930,5261,5.0,75.1,-25.0,12.38,5.11,2.69,2.5
1.970,4932,6.4,75.1,-25.0,12.41,4.96,2.71,2.5
2.010,4586,8.9,75.1,-25.0,12.42,4.62,2.73,2.5
2.050,4271,11.5,75.1,-25.0,12.44,4.30,2.77,2.5
2.090,4088,13.1,75.1,-25.0,12.43,3.95,2.84,2.5
2.130,3949,14.9,75.1,-25.0,12.45,3.71,2.91,2.5
2.170,3873,15.6,75.1,-25.0,12.44,3.57,2.96,2.5
2.210,3996,15.9,75.1,-25.0,12.42,3.63,3.00,2.5
2.250,4179,16.1,75.1,-25.0,12.44,3.83,3.03,2.5
2.290,4455,16.1,75.1,-25.0,12.43,4.13,3.02,2.5
2.330,4816,16.2,75.1,-25.0,12.42,4.52,3.00,2.5
2.370,5208,16.2,75.1,-25.0,12.42,5.00,2.97,2.5
2.410,5561,16.3,75.1,-25.0,12.41,5.18,2.95,2.5
